Actor Id,Actors,Movies,Rating,Rank,Hits,Google Rank
373,Aamir Khan,11,1170,9.448619843,2460000,7.342830181
374,Shah Rukh Khan,23,2000,7.550089836,2670000,7.884580135
375,Salman Khan,36,2340,5.402170181,3490000,10
376,Katrina Kaif,17,1640,8.480819702,2120000,6.46570015
377,Deepika Padukone,16,1080,5.64673996,3000000,8.735910416
378,Hrithik Roshan,16,1120,5.891300201,2650000,7.832980156
379,Priyanka Chopra,36,1990,4.451089859,3130000,9.071279526
380,Kareena Kapoor,37,2200,4.860159874,2940000,8.581119537
381,Ranbir Kapoor,11,890,6.958499908,1860000,5.794960022
382,Kajol,6,450,6.380430222,1780000,5.588580132
383,John Abraham,27,1370,4.007249832,2610000,7.729790211
384,Amitabh Bachchan,48,2140,3.40489006,2770000,8.142560005
385,Sonakshi Sinha,8,730,7.97010994,960000,3.473160028
386,Alia Bhatt,4,340,7.358699799,1190000,4.066510201
387,Ajay Devgn,49,2320,3.67524004,2570000,7.626599789
388,Asin,5,560,10,35900,1.089179993
389,Farhan Akhtar,6,370,5.076089859,1860000,5.794960022
390,Arjun Kapoor,5,320,5.304349899,1690000,5.356400013
391,Akshay Kumar,54,2950,4.387680054,1960000,6.052939892
392,Anushka Sharma,7,500,6.031060219,1320000,4.401879787
393,Vidya Balan,16,1040,5.402170181,1340000,4.45347023
394,Aishwarya Rai Bachchan,16,780,3.8125,1930000,5.975540161
395,Ranveer Singh,5,350,5.891300201,1120000,3.885920048
396,Vir Das,8,310,2.83423996,2270000,6.852670193
397,Shahid Kapoor,23,1100,3.722120047,1800000,5.640170097
398,Saif Ali Khan,26,1250,3.746659994,1760000,5.536980152
399,Anil Kapoor,19,790,3.110980034,1930000,5.975540161
400,Prakash Raj,7,390,4.49379015,1350000,4.479269981
401,Sonam Kapoor,9,490,4.369569778,1360000,4.50507021
402,Sanjay Kapoor,8,280,2.46739006,2080000,6.362510204
403,Jacqueline Fernandez,4,400,8.826089859,0,NULL
404,Abhishek Bachchan,34,1770,4.136189938,1260000,4.247089863
405,Imran Khan,12,680,4.586959839,1020000,3.627939939
406,Rekha,9,400,3.391299963,1480000,4.814640045
407,Tabu,16,700,3.32336998,1480000,4.814640045
408,Madhavan,12,630,4.179349899,1140000,3.937520027
409,Sanjay Dutt,43,1740,3.002019882,1560000,5.021029949
410,Parineeti Chopra,5,310,5.108699799,737000,2.897870064
411,Madhuri Dixit,7,310,3.375780106,1300000,4.350279808
412,Preity Zinta,16,880,4.423910141,877000,3.259040117
413,Govinda,17,680,2.956520081,1430000,4.685649872
414,Emraan Hashmi,26,1400,4.311039925,861000,3.217760086
415,Bipasha Basu,34,1570,3.560739994,1050000,3.705339909
416,Uday Chopra,7,450,5.332300186,311000,1.798879981
417,Aditya Roy Kapoor,4,330,7.11413002,0,NULL
418,Ritesh Deshmukh,20,1270,5.255430222,312000,1.801460028
419,Rishi Kapoor,19,880,3.574369907,934000,3.406080008
420,Kangana Ranaut,18,850,3.663039923,867000,3.233239889
421,Dia Mirza,15,400,1.652169943,1640000,5.22740984
422,Amrish Puri,11,730,5.535570145,125000,1.319039941
423,Amrita Rao,12,650,4.34239006,510000,2.312259912
424,Lara Dutta,17,810,3.704600096,737000,2.897870064
425,Om Puri,32,1100,2.40625,1230000,4.169700146
426,Kiron Kher,10,650,5.402170181,25100,1.061319947
427,Mallika Sherawat,12,570,3.690220118,669000,2.722440004
428,Sonu Sood,6,260,3.28260994,824000,3.122309923
429,Nana Patekar,14,840,4.913040161,173000,1.442870021
430,Vinod Khanna,9,520,4.695650101,243000,1.623460054
431,Kalki Koechlin,6,320,4.26086998,380000,1.976889968
432,Rani Mukerji,27,1410,4.152170181,386000,1.992359996
433,Rajkummar Rao,4,290,6.13586998,0,NULL
